rank,venue,publications
2153,"International Journal of Ambient Computing and Intelligence, Vol.13, DOI: 10.4018/ijaci.293148",1
2154,"International Journal of Agriculture Innovation, Technology and Globalisation, InderScience Publisher, Vol. 3, No. 2, Published Online:November 28,",1
2155,"International Journal of Agricultural Sciences and Veterinary Medicine 8 (2 …, 2020",1
2156,International Journal of Aeronautical and Space Sciences,1
2157,"International Journal of Advanced Trends in Computer Science and Engineering, Volume 10, No.2, March - April",1
2158,"International Journal of Advanced Trends in Computer Science and Engineering …, 2020",1
2159,"International Journal of Advanced Science and Technology, Vol. 29, No. 5, May",1
2160,International Journal of Big Data Intelligence,1
2161,"International Journal of Bio-resource and Stress Management 11 (1), 095-102, 2020",1
2162,International Journal of Bioinformatics Research and Applications,1
2163,"International Journal of Bioinformatics Research and Applications, Vol. 18, No. 1-2 https://doi.org/10.1504/IJBRA.2022.121756",1
2164,International Journal of Computational Methods,1
2165,International Journal of Computational Materials Science and Surface Engineering,1
2166,International Journal of Computational Intelligence and Applications,1
2167,International Journal of Computational Intelligence Systems,1
2168,International Journal of Community Medicine and Public Health,1
2169,"International Journal of Communication and Media Science,",1
2170,International Journal of Cognitive Informatics and Natural Intelligence (IJCINI),1
2171,International Journal of Cognitive Computing in Engineering,1
2172,"International Journal of Coal Preparation and Utilization 42 (10), 3173-3184, 2022",1
2173,International Journal of Coal Preparation and Utilization,1
2174,International Journal of Cloud Applications and Computing (IJCAC),1
2175,International Journal of Civil Engineering,1
2176,International Journal of Circuits Systems and Signal Processing,1
2177,International Journal of Chemical Kinetics,1
2178,International Journal of ChemTech Research,1
2179,International Journal of Business and Systems Research,1
2180,"International Journal of Business Intelligence and Data Mining, https://doi.org/10.1504/ijbidm.2023.127314",1
2181,"International Journal of Business Intelligence and Data Mining, Volume 22, Issue 1-2, Pages 170-222",1
2182,International Journal of Business Information Systems,1
2183,International Journal of Business Analytics,1
2184,International Journal of Biomechatronics and Biomedical Robotics,1
2185,"International Journal of Biology, Pharmacy and Allied Sciences",1
2186,International Journal of Biology Pharmacy and Allied Sciences,1
2187,International Journal of Energy for a Clean Environment,1
2188,"International Journal of Engineering Applied Sciences and Technology, (IJEAST",1
2189,International Journal of Multidisciplinary Engineering in Current Research,1
2190,"International Journal of Innovative Research in Electrical, Electronics, Instrumentation and Control Engineering( IJIREEICE) Volume 12, Issue 5, May",1
2191,International Journal of Intelligent Systems and Applications,1
2192,International Journal of Intelligent Information and Database Systems,1
2193,"International Journal of Intelligent Engineering and Systems, Vol.18, No.1,",1
2194,"International Journal of Intelligent Engineering & Systems, 17(1).",1
2195,"International Journal of Intelligent Engineering & Systems 14 (5), 2021",1
2196,"International Journal of Intelligent Computing and Cybernetics, ISSN: 1756-378X",1
2197,International Journal of Intelligent Computing Research,1
2198,International Journal of Integrated Research and Practice,1
2199,"International Journal of Innovative Technology and Exploring Engineering …, 2019",1
2200,"International Journal of Innovative Technology and Exploring Engineering 9 …, 2019",1
2201,"International Journal of Innovative Technology and Exploring Engineering (IJITEE), ISSN:",1
2202,"International Journal of Innovative Research in Computer and Communication Engineering, ISSN:",1
2203,"International Journal of Information Technology (IJIT), Springer,2021",1
2204,"International Journal of Innovative Research in Computer and Communication Engineering,",1
2205,"International Journal of Innovative Research in Computer and Communication Engineering (IJIRCCE),",1
2206,"International Journal of Innovative Research in Applied Sciences and Engineering[IJIRASE], Volume 4, Issue 10, April",1
2207,International Journal of Innovative Research in Applied Sciences and Engineering,1
2208,International Journal of Innovative Research and Scientific Studies,1
2209,"International Journal of Innovations in Engineering and Technology (IJIET),Volume 16 Issue 2 May",1
2210,International Journal of Innovations in Engineering Research and Technology,1
2211,International Journal of Information and Coding Theory,1
2212,"International Journal of Information Technology, Springer",1
2213,"International Journal of Information Technology, 15(7), 3463-3472.",1
2214,International Journal of Information Technology and Management,1
2215,"International Journal of Intelligent Systems and Applications in Engineering, Volume 11, Year 2023, Pages 975-987",1
2216,"International Journal of Interactive Mobile Technologies, 18(1).",1
2217,International Journal of Interactive Multimedia and Artificial Intelligence,1
2218,International Journal of Internet Protocol Technology,1
2219,International Journal of Modern Physics C,1
2220,"International Journal of Modern Physics B, 2450070,",1
2221,International Journal of Modelling Identification and Control,1
2222,International Journal of Microwave and Wireless Technologies,1
2223,International Journal of Microwave Engineering,1
2224,International Journal of Mechanical Engineering and Research,1
2225,International Journal of Mechanical Engineering and Applications,1
2226,International Journal of Mathematical Sciences and Computing,1
2227,International Journal of Mathematical Education in Science and Technology,1
2228,International Journal of Materials and Structural Integrity,1
2229,International Journal of Materials and Product Technology,1
2230,International Journal of Materials Engineering Innovation,1
2231,International Journal of Masonry Research and Innovation,1
2232,"International Journal of Management, Technology, and Social Sciences",1
2233,International Journal of Machine Learning and Cybernetics,1
2234,International Journal of Machine Learning and Computing,1
2235,International Journal of Lightweight Materials and Manufacture,1
2236,International Journal of Learning and Change,1
2237,International Journal of Knowledge-based and Intelligent Engineering Systems,1
2238,International Journal of Knowledge-Based and Intelligent Engineering Systems,1
2239,International Journal of Knowledge-Based Development,1
2240,International Journal of Knowledge and Systems Science,1
2241,International Journal of Inventive Engineering and Sciences,1
2242,International Journal of Information Technology and Decision Making,1
2243,International Journal of Information Security and Privacy,1
2244,"International Journal of Engineering Applied Sciences and Technology, November",1
2245,International Journal of Engineering Systems Modelling and Simulation,1
2246,International Journal of Environmental Science and Technology,1
2247,International Journal of Environmental Research,1
2248,"International Journal of English Learning & Teaching Skills 1 (3), 211-214, 2019",1
2249,"International Journal of Engineering, Transactions A: Basics",1
2250,"International Journal of Engineering and Manufacturing (IJEM), Vol.15, No.4,",1
2251,International Journal of Engineering and Management Research,1
2252,International Journal of Engineering and Computer Science,1
2253,International Journal of Engineering and Applied Sciences (IJEAS),1
2254,"International Journal of Engineering and Advanced Technology (IJEAT), ISSN:",1
2255,International Journal of Engineering Trends and Technology (IJETT) - Volume 67 Issue 2 - Feb,1
2256,International Journal of Engineering Technology and Management Sciences,1
2257,International Journal of Engineering Sciences,1
2258,International Journal of Information Security,1
2259,International Journal of Engineering Science,1
2260,International Journal of Engineering Research in Mechanical and Civil Engineering (IJERMCE),1
2261,"International Journal of Engineering Research in Electrical and Electronic Engineering (IJEREEE) ,Volume 10 Issue 10 October",1
2262,International Journal of Engineering Research in Computer Science and Engineering,1
2263,"International Journal of Engineering Research in Africa, (Accepted)",1
2264,"International Journal of Engineering Research and Applications,",1
2265,"International Journal of Engineering Research & Technology (IJERT), Volume 9 , July",1
2266,"International Journal of Engineering Research & Technology (IJERT), Vol. 9 Issue 07, July-",1
2267,"International Journal of Engineering Research & Technology (IJERT), Vol. 9 Issue 06, June-",1
2268,International Journal of Engineering Research & Technology (IJERT),1
2269,International Journal of Engineering Materials and Manufacture,1
2270,"International Journal of Environmental Sciences,",1
2271,"International Journal of Environmental Sciences, ISSN:",1
2272,International Journal of Experimental Research and Review,1
2273,"International Journal of Future Generation Communication and Networking, Vol 13, No. 2, Apr 2020, Page: 972-979.",1
2274,International Journal of Information Retrieval Research,1
2275,International Journal of Information Engineering and Electronic Business,1
2276,International Journal of Information Dissemination and Technology,1
2277,International Journal of Industrial Ergonomics,1
2278,"International Journal of Industrial Electronics and Electrical Engineering (IJIEEE) , Volume-11,Issue-9 ( Sep,",1
2279,International Journal of Industrial Chemistry,1
2280,International Journal of Impact Engineering,1
2281,"International Journal of Image, Graphics and Signal Processing (IJIGSP), PP.50-63, Pub. Date:",1
2282,"International Journal of Image, Graphics and Signal Processing",1
2283,International Journal of Image and Graphics,1
2284,International Journal of Image and Data Fusion,1
2285,International Journal of Image Graphics and Signal Processing,1
2286,"International Journal of INTELLIGENT SYSTEMS AND APPLICATIONS IN ENGINEERING,IJISAE, 12(13s), 417–431,",1
2287,"International Journal of Hyperconnectivity and the Internet of Things …, 2024",1
2288,"International Journal of Hydrogen Energy, Vol. 47 (46), 20254-20264",1
2289,"International Journal of Heat and Technology, Vol. 38, No. 4, 817-826, 2020",1
2290,International Journal of Heat and Fluid Flow,1
2291,International Journal of Health Technology and Innovation,1
2292,International Journal of Grid and Utility Computing,1
2293,"International Journal of Geotechnical Engineering 17 (2), 151-161, 2023",1
2294,"International Journal of Geotechnical Engineering 16 (2), 256-262, 2022",1
2295,"International Journal of Geometric Methods in Modern Physics, Volume 18, Issue 02, 2150021, 2021",1
2296,International Journal of Fuzzy Computation and Modelling,1
2297,"‘International Journal of Engineering and Advanced Technology (IJEAT)’, ISSN:",1
